A	A 1177
more or _	more or less 23
more or less	more or less 23
more than	more than 246
more than _	more than a 44	more than one 21	more than the 11
more than a	more than a 44
more than one	more than one 21
more than the	more than the 11
more the	more the 11
more time	more time 16
more to	more to 25
more you	more you 11
morning	morning 152
mortgage	mortgage 12
most	most 746
most _	most of 110	most important 54	most people 18	most common 17	most cases 12
most _ _	most of the 44
most _ the	most of the 44
most cases	most cases 12
most common	most common 17
most important	most important 54
most of	most of 110
most of _	most of the 44
most of the	most of the 44
most people	most people 18
mostly	mostly 22
mother	mother 110
mother _	mother and 14
mother and	mother and 14
mothers	mothers 14
motion	motion 13
motive	motive 11
motor	motor 22
mountain	mountain 11
mountains	mountains 13
mounted	mounted 11
mouth	mouth 60
mouths	mouths 11
move	move 182
move _	move into 16	move to 14	move the 13
move into	move into 16
move the	move the 13
move to	move to 14
moved	moved 98
moved _	moved to 19
moved to	moved to 19
movement	movement 257
movement _	movement of 24	movement is 19	movement and 17	movement in 12
movement and	movement and 17
movement in	movement in 12
movement is	movement is 19
movement of	movement of 24
movements	movements 119
movements _	movements of 13
movements of	movements of 13
moves	moves 34
movie	movie 14
moving	moving 79
moving _	moving the 15
moving the	moving the 15
much	much 752
much _	much more 78	much of 67	much as 34	much to 31	much the 22	much a 15	much in 15	much better 14	much about 11	much longer 11
much _ _	much of the 24	much the same 11
much _ same	much the same 11
much _ the	much of the 24
much a	much a 15
much about	much about 11
much as	much as 34
much better	much better 14
much in	much in 15
much longer	much longer 11
much more	much more 78
much of	much of 67
much of _	much of the 24
much of the	much of the 24
much the	much the 22
much the _	much the same 11
much the same	much the same 11
much to	much to 31
mud	mud 17
mum	mum 14
murder	murder 24
murmured	murmured 15
muscle	muscle 45
muscles	muscles 85
museum	museum 25
museums	museums 14
music	music 240
music _	music and 21	music by 18
music and	music and 21
music by	music by 18
musical	musical 32
must	must 791
must _	must be 301	must have 93	must not 22	must also 18	must always 16	must know 12
must _ _	must have been 22
must _ been	must have been 22
must also	must also 18
must always	must always 16
must be	must be 301
must have	must have 93
must have _	must have been 22
must have been	must have been 22
must know	must know 12
must not	must not 22
mustard	mustard 43
mutual	mutual 11
my	my 1515
my _	my own 61	my life 42	my head 29	my eyes 26	my mind 22	my way 22	my hands 21	my father 20	my first 16	my face 15	my dear 13	my heart 11	my new 11
my dear	my dear 13
my eyes	my eyes 26
my face	my face 15
my father	my father 20
my first	my first 16
my hands	my hands 21
my head	my head 29
my heart	my heart 11
my life	my life 42
my mind	my mind 22
my new	my new 11
my own	my own 61
my way	my way 22
myself	myself 176
myself _	myself to 14	myself and 11
myself and	myself and 11
myself to	myself to 14
mysterious	mysterious 11
mystery	mystery 28
myth	myth 19
myths	myths 11
n	n 11
naked	naked 18
name	name 195
name _	name of 26	name and 12
name and	name and 12
name of	name of 26
named	named 18
names	names 64
names _	names of 13
names of	names of 13
narrow	narrow 38
nasty	nasty 11
nation	nation 30
national	national 156
national _	national and 14
national and	national and 14
nationalism	nationalism 19
nationalist	nationalist 32
nationalists	nationalists 23
nationals	nationals 13
native	native 20
natural	natural 125
naturally	naturally 33
nature	nature 129
nature _	nature of 58
nature _ _	nature of the 22
nature _ the	nature of the 22
nature of	nature of 58
nature of _	nature of the 22
nature of the	nature of the 22
near	near 127
near _	near the 36
near the	near the 36
nearby	nearby 18
nearer	nearer 14
nearest	nearest 22
nearly	nearly 81
nearly _	nearly always 11
nearly always	nearly always 11
neatly	neatly 17
necessarily	necessarily 48
necessary	necessary 175
necessary _	necessary to 59	necessary for 13
necessary for	necessary for 13
necessary to	necessary to 59
necessity	necessity 21
neck	neck 46
need	need 581
need _	need to 242	need for 53	need a 40	need not 14	need of 12
need _ _	need to be 45	need to know 11
need _ be	need to be 45
need _ know	need to know 11
need a	need a 40
need for	need for 53
need not	need not 14
need of	need of 12
need to	need to 242
need to _	need to be 45	need to know 11
need to be	need to be 45
need to know	need to know 11
needed	needed 123
needed _	needed to 32
needed to	needed to 32
needing	needing 15
needs	needs 186
needs _	needs to 42	needs of 26	needs and 13
needs _ _	needs to be 29
needs _ be	needs to be 29
needs and	needs and 13
needs of	needs of 26
needs to	needs to 42
needs to _	needs to be 29
needs to be	needs to be 29
negative	negative 17
negotiated	negotiated 11
neighbour	neighbour 12
neighbours	neighbours 26
neither	neither 38
nerve	nerve 15
nervous	nervous 41
nervous _	nervous system 26
nervous system	nervous system 26
nest	nest 12
net	net 13
network	network 36
neurophysiological	neurophysiological 14
neuropsychology	neuropsychology 16
never	never 526
never _	never been 36	never be 30	never have 14
never be	never be 30
never been	never been 36
never have	never have 14
nevertheless	nevertheless 24
new	new 790
new _	new and 19
new and	new and 19
newly	newly 19
news	news 75
newspaper	newspaper 45
newspapers	newspapers 24
next	next 314
next _	next to 22	next year 20	next door 15	next time 11
next door	next door 15
next time	next time 11
next to	next to 22
next year	next year 20
nice	nice 60
night	night 231
night _	night he 16	night and 12
night and	night and 12
night he	night he 16
nights	nights 27
nine	nine 38
nineteenth	nineteenth 28
nineteenth _	nineteenth century 25
nineteenth century	nineteenth century 25
no	no 1271
no _	no longer 79	no one 48	no more 44	no doubt 32	no way 23	no matter 21	no such 20	no idea 18	no need 18	no reason 18	no to 14	no problem 13	no less 12	no other 12	no better 11	no good 11	no real 11	no time 11
no _ _	no more than 21	no matter how 13	no need to 13
no _ how	no matter how 13
no _ than	no more than 21
no _ to	no need to 13
no better	no better 11
no doubt	no doubt 32
no good	no good 11
no idea	no idea 18
no less	no less 12
no longer	no longer 79
no matter	no matter 21
no matter _	no matter how 13
no matter how	no matter how 13
no more	no more 44
no more _	no more than 21
no more than	no more than 21
no need	no need 18
no need _	no need to 13
no need to	no need to 13
no one	no one 48
no other	no other 12
no problem	no problem 13
no real	no real 11
no reason	no reason 18
no such	no such 20
no time	no time 11
no to	no to 14
no way	no way 23
nobody	nobody 31
nodded	nodded 24
noise	noise 31
none	none 56
none _	none of 33
none of	none of 33
nonsense	nonsense 12
nor	nor 55
normal	normal 111
normally	normally 60
north	north 36
north _	north of 11
north of	north of 11
northern	northern 15
nose	nose 82
not	not 3695
not _	not be 232	not to 188	not a 125	not the 115	not have 101	not only 82	not been 50	not in 45	not so 45	not always 40	not just 38	not least 30	not enough 29	not necessarily 29	not as 28	not know 28	not for 27	not going 27	not all 26	not even 25	not too 24	not yet 23	not take 22	not being 20	not want 20	not at 19	not an 18	not that 18	not do 17	not easy 17	not mean 17	not what 17	not possible 16	not really 16	not believe 14	not merely 14	not surprising 14	not very 14	not come 13	not make 13	not one 13	not quite 13	not sure 13	not with 13	not get 12	not go 12	not look 12	not see 12	not much 11	not think 11
not _ _	not to be 26	not going to 25	not have to 20	not be able 17	not the only 15	not to say 14	not have been 13	not in the 13	not mean that 11	not only the 11	not want to 11
not _ _ _	not be able to 17
not _ _ to	not be able to 17
not _ able	not be able 17
not _ able _	not be able to 17
not _ able to	not be able to 17
not _ be	not to be 26
not _ been	not have been 13
not _ only	not the only 15
not _ say	not to say 14
not _ that	not mean that 11
not _ the	not in the 13	not only the 11
not _ to	not going to 25	not have to 20	not want to 11
not a	not a 125
not all	not all 26
not always	not always 40
not an	not an 18
not as	not as 28
not at	not at 19
not be	not be 232
not be _	not be able 17
not be _ _	not be able to 17
not be _ to	not be able to 17
not be able	not be able 17
not be able _	not be able to 17
not be able to	not be able to 17
not been	not been 50
not being	not being 20
not believe	not believe 14
not come	not come 13
not do	not do 17
not easy	not easy 17
not enough	not enough 29
not even	not even 25
not for	not for 27
not get	not get 12
not go	not go 12
not going	not going 27
not going _	not going to 25
not going to	not going to 25
not have	not have 101
not have _	not have to 20	not have been 13
not have been	not have been 13
not have to	not have to 20
not in	not in 45
not in _	not in the 13
not in the	not in the 13
not just	not just 38
not know	not know 28
not least	not least 30
not look	not look 12
not make	not make 13
not mean	not mean 17
not mean _	not mean that 11
not mean that	not mean that 11
not merely	not merely 14
not much	not much 11
not necessarily	not necessarily 29
not one	not one 13
not only	not only 82
not only _	not only the 11
not only the	not only the 11
not possible	not possible 16
not quite	not quite 13
not really	not really 16
not see	not see 12
not so	not so 45
not sure	not sure 13
not surprising	not surprising 14
not take	not take 22
not that	not that 18
not the	not the 115
not the _	not the only 15
not the only	not the only 15
not think	not think 11
not to	not to 188
not to _	not to be 26	not to say 14
not to be	not to be 26
not to say	not to say 14
not too	not too 24
not very	not very 14
not want	not want 20
not want _	not want to 11
not want to	not want to 11
not what	not what 17
not with	not with 13
not yet	not yet 23
notable	notable 12
notably	notably 16
note	note 89
note _	note that 18	note of 11
note of	note of 11
note that	note that 18
notebook	notebook 18
noted	noted 25
notes	notes 30
nothing	nothing 260
nothing _	nothing to 38	nothing but 21	nothing else 11
nothing _ _	nothing to do 12
nothing _ _ _	nothing to do with 11
nothing _ _ with	nothing to do with 11
nothing _ do	nothing to do 12
nothing _ do _	nothing to do with 11
nothing _ do with	nothing to do with 11
nothing but	nothing but 21
nothing else	nothing else 11
nothing to	nothing to 38
nothing to _	nothing to do 12
nothing to _ _	nothing to do with 11
nothing to _ with	nothing to do with 11
nothing to do	nothing to do 12
nothing to do _	nothing to do with 11
nothing to do with	nothing to do with 11
notice	notice 57
noticeable	noticeable 13
noticed	noticed 45
notion	notion 15
notion _	notion of 11
notion of	notion of 11
novel	novel 79
novelist	novelist 16
novels	novels 17
now	now 926
now I	now I 26
now _	now and 27	now I 26	now in 20	now the 19	now she 17	now that 16	now a 15	now you 15	now it 14	now be 12	now for 12	now on 12	now with 12	now being 11	now he 11
now a	now a 15
now and	now and 27
now be	now be 12
now being	now being 11
now for	now for 12
now he	now he 11
now in	now in 20
now it	now it 14
now on	now on 12
now she	now she 17
now that	now that 16
now the	now the 19
now with	now with 12
now you	now you 15
nowadays	nowadays 15
nowhere	nowhere 31
number	number 292
number _	number of 226
number _ _	number of people 11
number _ people	number of people 11
number of	number of 226
number of _	number of people 11
number of people	number of people 11
numbers	numbers 78
numbers _	numbers of 32
numbers of	numbers of 32
numerous	numerous 15
nurse	nurse 26
nursery	nursery 11
nurses	nurses 22
nursing	nursing 13
oak	oak 21
object	object 69
object _	object of 11
object of	object of 11
objective	objective 19
objects	objects 44
observation	observation 20
observations	observations 28
observe	observe 13
observed	observed 20
obtain	obtain 46
obtain _	obtain a 12
obtain a	obtain a 12
obtained	obtained 37
obvious	obvious 82
obvious _	obvious that 12
obvious that	obvious that 12
obviously	obviously 41
occasion	occasion 32
occasional	occasional 11
occasionally	occasionally 24
occasions	occasions 27
occupational	occupational 25
occupied	occupied 14
occur	occur 62
occurred	occurred 38
occurring	occurring 15
occurs	occurs 45
odd	odd 26
of	of 22339
of ACET	of ACET 16
of AIDS	of AIDS 16
of Amnesty	of Amnesty 17
of BR	of BR 11
of Birmingham	of Birmingham 14
of Britain	of Britain 13
of British	of British 22
of Covenant	of Covenant 14
of England	of England 23
of English	of English 14
of Europe	of Europe 11
of God	of God 13
of Ireland	of Ireland 40
of Leonard	of Leonard 15
of London	of London 26
of Lucy	of Lucy 22
of State	of State 15
of The	of The 27
of Ulster	of Ulster 13
of _	of the 5351	of a 1005	of his 351	of this 251	of their 248	of them 195	of these 193	of your 183	of it 178	of my 177	of course 175	of an 160	of all 151	of its 146	of and 123	of her 117	of that 111	of what 111	of art 100	of our 97	of any 94	of those 86	of which 84	of us 79	of people 78	of being 64	of pound 58	of life 56	of time 56	of some 54	of you 53	of one 52	of each 50	of such 48	of how 47	of work 46	of Ireland 40	of in 40	of me 38	of new 36	of many 35	of movement 35	of other 35	of both 34	of him 34	of things 34	of making 33	of two 33	of view 33	of music 30	of training 30	of beer 29	of mind 29	of The 27	of conscience 27	of good 27	of London 26	of getting 26	of dance 25	of experience 25	of power 25	of practice 24	of to 24	of England 23	of death 23	of having 23	of police 23	of social 23	of thing 23	of thought 23	of wine 23	of British 22	of Lucy 22	of as 22	of local 22	of political 22	of about 21	of consciousness 21	of character 20	of height 20	of love 20	of at 19	of catholic 19	of classical 19	of different 19	of doing 19	of glider 19	of modern 19	of older 19	of perception 19	of great 18	of is 18	of law 18	of water 18	of whom 18	of Amnesty 17	of age 17	of food 17	of information 17	of tea 17	of white 17	of ACET 16	of AIDS 16	of action 16	of artists 16	of birth 16	of himself 16	of mental 16	of place 16	of real 16	of three 16	of years 16	of young 16	of Leonard 15	of State 15	of care 15	of charge 15	of coffee 15	of gravity 15	of he 15	of pubs 15	of service 15	of services 15	of someone 15	of Birmingham 14	of Covenant 14	of English 14	of every 14	of going 14	of men 14	of money 14	of more 14	of old 14	of or 14	of plants 14	of reality 14	of tools 14	of wood 14	of Britain 13	of God 13	of Ulster 13	of alcohol 13	of colour 13	of community 13	of control 13	of equipment 13	of existing 13	of glass 13	of health 13	of interest 13	of knowledge 13	of line 13	of not 13	of pub 13	of staff 13	of style 13	of works 13	of another 12	of anything 12	of attention 12	of children 12	of dancers 12	of for 12	of government 12	of paper 12	of public 12	of religious 12	of steps 12	of with 12	of women 12	of working 12	of yourself 12	of BR 11	of Europe 11	of access 11	of books 11	of church 11	of cognitive 11	of divorce 11	of events 11	of four 11	of fresh 11	of high 11	of hops 11	of income 11	of individual 11	of on 11	of painting 11	of poetry 11	of room 11	of technique 11	of trees 11	of using 11	of very 11	of violence 11
of _ British	of the British 20
of _ Campaign	of the Campaign 12
of _ Irish	of the Irish 16
of _ World	of the World 13
of _ Year	of the Year 15
of _ _	of the world 63	of the most 47	of the state 35	of the day 34	of the glass 31	of the new 31	of the and 30	of the first 29	of the two 27	of all the 24	of their own 24	of the body 22	of the opponent 21	of a new 20	of the British 20	of the church 20	of the old 20	of the people 19	of the work 19	of his own 18	of the best 18	of the country 18	of the mind 18	of the pub 18	of the year 18	of the family 17	of the room 17	of the whole 17	of what is 17	of my life 16	of the Irish 16	of the time 16	of my own 15	of the Year 15	of the book 15	of the century 15	of the decade 15	of the house 15	of the other 15	of the past 15	of the system 15	of older people 14	of one of 14	of the field 14	of the main 14	of the police 14	of the same 14	of the way 14	of your local 14	of people who 13	of the World 13	of the few 13	of the last 13	of the mental 13	of the music 13	of a particular 12	of course but 12	of course the 12	of the Campaign 12	of the community 12	of the crowd 12	of the glider 12	of the group 12	of art criticism 11	of life and 11	of the brain 11	of the city 11	of the design 11	of the garden 11	of the majority 11	of the many 11	of the population 11	of the table 11	of them are 11	of this is 11	of which are 11
of _ and	of the and 30	of life and 11
of _ are	of them are 11	of which are 11
of _ best	of the best 18
of _ body	of the body 22
of _ book	of the book 15
of _ brain	of the brain 11
of _ but	of course but 12
of _ century	of the century 15
of _ church	of the church 20
of _ city	of the city 11
of _ community	of the community 12
of _ country	of the country 18
of _ criticism	of art criticism 11
of _ crowd	of the crowd 12
of _ day	of the day 34
of _ decade	of the decade 15
of _ design	of the design 11
of _ family	of the family 17
of _ few	of the few 13
of _ field	of the field 14
of _ first	of the first 29
of _ garden	of the garden 11
of _ glass	of the glass 31
of _ glider	of the glider 12
of _ group	of the group 12
of _ house	of the house 15
of _ is	of what is 17	of this is 11
of _ last	of the last 13
of _ life	of my life 16
of _ local	of your local 14
of _ main	of the main 14
of _ majority	of the majority 11
of _ many	of the many 11
of _ mental	of the mental 13
of _ mind	of the mind 18
of _ most	of the most 47
of _ music	of the music 13
of _ new	of the new 31	of a new 20
of _ of	of one of 14
of _ old	of the old 20
of _ opponent	of the opponent 21
of _ other	of the other 15
of _ own	of their own 24	of his own 18	of my own 15
of _ particular	of a particular 12
of _ past	of the past 15
of _ people	of the people 19	of older people 14
of _ police	of the police 14
of _ population	of the population 11
of _ pub	of the pub 18
of _ room	of the room 17
of _ same	of the same 14
of _ state	of the state 35
of _ system	of the system 15
of _ table	of the table 11
of _ the	of all the 24	of course the 12
of _ time	of the time 16
of _ two	of the two 27
of _ way	of the way 14
of _ who	of people who 13
of _ whole	of the whole 17
of _ work	of the work 19
of _ world	of the world 63
of _ year	of the year 18
of a	of a 1005
of a _	of a new 20	of a particular 12
of a new	of a new 20
of a particular	of a particular 12
of about	of about 21
of access	of access 11
of action	of action 16
of age	of age 17
of alcohol	of alcohol 13
of all	of all 151
of all _	of all the 24
of all the	of all the 24
of an	of an 160
of and	of and 123
of another	of another 12
of any	of any 94
of anything	of anything 12
of art	of art 100
of art _	of art criticism 11
of art criticism	of art criticism 11
of artists	of artists 16
of as	of as 22
of at	of at 19
of attention	of attention 12
of beer	of beer 29
of being	of being 64
of birth	of birth 16
of books	of books 11
of both	of both 34
of care	of care 15
of catholic	of catholic 19
of character	of character 20
of charge	of charge 15
of children	of children 12
of church	of church 11
of classical	of classical 19
of coffee	of coffee 15
of cognitive	of cognitive 11
of colour	of colour 13
of community	of community 13
of conscience	of conscience 27
of consciousness	of consciousness 21
of control	of control 13
of course	of course 175
of course _	of course but 12	of course the 12
of course but	of course but 12
of course the	of course the 12
of dance	of dance 25
of dancers	of dancers 12
of death	of death 23
of different	of different 19
of divorce	of divorce 11
of doing	of doing 19
of each	of each 50
of equipment	of equipment 13
of events	of events 11
of every	of every 14
of existing	of existing 13
of experience	of experience 25
of food	of food 17
of for	of for 12
of four	of four 11
of fresh	of fresh 11
of getting	of getting 26
of glass	of glass 13
of glider	of glider 19
of going	of going 14
of good	of good 27
of government	of government 12
of gravity	of gravity 15
of great	of great 18
of having	of having 23
of he	of he 15
of health	of health 13
of height	of height 20
of her	of her 117
of high	of high 11
of him	of him 34
of himself	of himself 16
of his	of his 351
of his _	of his own 18
of his own	of his own 18
of hops	of hops 11
of how	of how 47
of in	of in 40
of income	of income 11
of individual	of individual 11
of information	of information 17
of interest	of interest 13
of is	of is 18
of it	of it 178
of its	of its 146
of knowledge	of knowledge 13
of law	of law 18
of life	of life 56
of life _	of life and 11
of life and	of life and 11
of line	of line 13
of local	of local 22
of love	of love 20
of making	of making 33
of many	of many 35
of me	of me 38
of men	of men 14
of mental	of mental 16
of mind	of mind 29
of modern	of modern 19
of money	of money 14
of more	of more 14
of movement	of movement 35
of music	of music 30
of my	of my 177
of my _	of my life 16	of my own 15
of my life	of my life 16
of my own	of my own 15
of new	of new 36
of not	of not 13
of old	of old 14
of older	of older 19
of older _	of older people 14
of older people	of older people 14
of on	of on 11
of one	of one 52
of one _	of one of 14
of one of	of one of 14
of or	of or 14
of other	of other 35
of our	of our 97
of painting	of painting 11
of paper	of paper 12
of people	of people 78
of people _	of people who 13
of people who	of people who 13
of perception	of perception 19
of place	of place 16
of plants	of plants 14
of poetry	of poetry 11
of police	of police 23
of political	of political 22
of pound	of pound 58
of power	of power 25
of practice	of practice 24
of pub	of pub 13
of public	of public 12
of pubs	of pubs 15
of real	of real 16
of reality	of reality 14
of religious	of religious 12
of room	of room 11
of service	of service 15
of services	of services 15
of social	of social 23
of some	of some 54
of someone	of someone 15
of staff	of staff 13
of steps	of steps 12
of style	of style 13
of such	of such 48
of tea	of tea 17
of technique	of technique 11
of that	of that 111
of the	of the 5351
of the British	of the British 20
of the Campaign	of the Campaign 12
of the Irish	of the Irish 16
of the World	of the World 13
of the Year	of the Year 15
of the _	of the world 63	of the most 47	of the state 35	of the day 34	of the glass 31	of the new 31	of the and 30	of the first 29	of the two 27	of the body 22	of the opponent 21	of the British 20	of the church 20	of the old 20	of the people 19	of the work 19	of the best 18	of the country 18	of the mind 18	of the pub 18	of the year 18	of the family 17	of the room 17	of the whole 17	of the Irish 16	of the time 16	of the Year 15	of the book 15	of the century 15	of the decade 15	of the house 15	of the other 15	of the past 15	of the system 15	of the field 14	of the main 14	of the police 14	of the same 14	of the way 14	of the World 13	of the few 13	of the last 13	of the mental 13	of the music 13	of the Campaign 12	of the community 12	of the crowd 12	of the glider 12	of the group 12	of the brain 11	of the city 11	of the design 11	of the garden 11	of the majority 11	of the many 11	of the population 11	of the table 11
of the and	of the and 30
of the best	of the best 18
of the body	of the body 22
of the book	of the book 15
of the brain	of the brain 11
of the century	of the century 15
of the church	of the church 20
of the city	of the city 11
of the community	of the community 12
of the country	of the country 18
of the crowd	of the crowd 12
of the day	of the day 34
of the decade	of the decade 15
of the design	of the design 11
of the family	of the family 17
of the few	of the few 13
of the field	of the field 14
of the first	of the first 29
of the garden	of the garden 11
of the glass	of the glass 31
of the glider	of the glider 12
of the group	of the group 12
of the house	of the house 15
of the last	of the last 13
of the main	of the main 14
of the majority	of the majority 11
of the many	of the many 11
of the mental	of the mental 13
of the mind	of the mind 18
of the most	of the most 47
of the music	of the music 13
of the new	of the new 31
of the old	of the old 20
of the opponent	of the opponent 21
of the other	of the other 15
of the past	of the past 15
of the people	of the people 19
of the police	of the police 14
of the population	of the population 11
of the pub	of the pub 18
of the room	of the room 17
of the same	of the same 14
of the state	of the state 35
of the system	of the system 15
of the table	of the table 11
of the time	of the time 16
of the two	of the two 27
of the way	of the way 14
of the whole	of the whole 17
of the work	of the work 19
of the world	of the world 63
of the year	of the year 18
of their	of their 248
of their _	of their own 24
of their own	of their own 24
of them	of them 195
of them _	of them are 11
of them are	of them are 11
of these	of these 193
of thing	of thing 23
of things	of things 34
of this	of this 251
of this _	of this is 11
of this is	of this is 11
of those	of those 86
of thought	of thought 23
of three	of three 16
of time	of time 56
of to	of to 24
of tools	of tools 14
of training	of training 30
of trees	of trees 11
of two	of two 33
of us	of us 79
of using	of using 11
of very	of very 11
of view	of view 33
of violence	of violence 11
of water	of water 18
of what	of what 111
of what _	of what is 17
of what is	of what is 17
of which	of which 84
of which _	of which are 11
of which are	of which are 11
of white	of white 17
of whom	of whom 18
of wine	of wine 23
of with	of with 12
of women	of women 12
of wood	of wood 14
of work	of work 46
of working	of working 12
of works	of works 13
of years	of years 16
of you	of you 53
of young	of young 16
of your	of your 183
of your _	of your local 14
of your local	of your local 14
of yourself	of yourself 12
off	off 409
off _	off the 52	off to 47	off and 19	off for 19	off with 17	off by 13	off in 11
off and	off and 19
off by	off by 13
off for	off for 19
off in	off in 11
off the	off the 52
off to	off to 47
off with	off with 17
offence	offence 17
offer	offer 111
offer _	offer a 11
offer a	offer a 11
offered	offered 73
offering	offering 33
offers	offers 44
offers _	offers a 11
offers a	offers a 11
office	office 120
office _	office and 13
office and	office and 13
officer	officer 37
officers	officers 48
offices	offices 37
official	official 18
officially	officially 14
often	often 420
often _	often the 23	often in 12
often in	often in 12
often the	often the 23
oh	oh 32
oil	oil 46
oil _	oil and 12
oil and	oil and 12
oils	oils 19
old	old 399
old _	old lady 18	old man 16	old and 13	old woman 11
old and	old and 13
old lady	old lady 18
old man	old man 16
old woman	old woman 11
older	older 150
older _	older people 72
older people	older people 72
on	on 4902
on April	on April 19
on August	on August 23
on July	on July 12
on June	on June 15
on March	on March 18
on May	on May 20
on October	on October 20
on Saturday	on Saturday 12
on September	on September 31
on _	on the 1705	on a 275	on to 138	on his 68	on her 63	on your 55	on their 53	on it 47	on and 46	on this 46	on my 43	on its 35	on which 35	on an 33	on September 31	on with 31	on earth 30	on one 30	on in 27	on August 23	on top 23	on me 21	on May 20	on October 20	on April 19	on him 19	on what 19	on March 18	on behalf 18	on both 18	on how 18	on them 18	on all 16	on that 16	on you 16	on June 15	on each 15	on for 15	on receipt 15	on such 13	on July 12	on Saturday 12	on these 11	on those 11
on _ _	on to the 46	on the floor 39	on the ground 25	on the other 24	on top of 22	on the stick 21	on behalf of 18	on the table 17	on the basis 16	on the same 16	on the way 16	on receipt of 15	on the first 13	on the subject 13	on the day 12
on _ _ _	on the basis of 16
on _ _ of	on the basis of 16
on _ basis	on the basis 16
on _ basis _	on the basis of 16
on _ basis of	on the basis of 16
on _ day	on the day 12
on _ first	on the first 13
on _ floor	on the floor 39
on _ ground	on the ground 25
on _ of	on top of 22	on behalf of 18	on receipt of 15
on _ other	on the other 24
on _ same	on the same 16
on _ stick	on the stick 21
on _ subject	on the subject 13
on _ table	on the table 17
on _ the	on to the 46
on _ way	on the way 16
on a	on a 275
on all	on all 16
on an	on an 33
on and	on and 46
on behalf	on behalf 18
on behalf _	on behalf of 18
on behalf of	on behalf of 18
on both	on both 18
on each	on each 15
on earth	on earth 30
on for	on for 15
on her	on her 63
on him	on him 19
on his	on his 68
on how	on how 18
on in	on in 27
on it	on it 47
on its	on its 35
on me	on me 21
on my	on my 43
on one	on one 30
on receipt	on receipt 15
on receipt _	on receipt of 15
on receipt of	on receipt of 15
on such	on such 13
on that	on that 16
on the	on the 1705
on the _	on the floor 39	on the ground 25	on the other 24	on the stick 21	on the table 17	on the basis 16	on the same 16	on the way 16	on the first 13	on the subject 13	on the day 12
on the _ _	on the basis of 16
on the _ of	on the basis of 16
on the basis	on the basis 16
on the basis _	on the basis of 16
on the basis of	on the basis of 16
on the day	on the day 12
on the first	on the first 13
on the floor	on the floor 39
on the ground	on the ground 25
on the other	on the other 24
on the same	on the same 16
on the stick	on the stick 21
on the subject	on the subject 13
on the table	on the table 17
on the way	on the way 16
on their	on their 53
on them	on them 18
on these	on these 11
on this	on this 46
on those	on those 11
on to	on to 138
on to _	on to the 46
on to the	on to the 46
on top	on top 23
on top _	on top of 22
on top of	on top of 22
on what	on what 19
on which	on which 35
on with	on with 31
on you	on you 16
on your	on your 55
once	once 280
once _	once a 25	once the 20	once more 18	once again 17
once a	once a 25
once again	once again 17
once more	once more 18
once the	once the 20
one	one 1799
one _	one of 426	one or 40	one side 40	one is 37	one thing 32	one day 29	one in 26	one to 26	one and 20	one hand 20	one which 20	one has 19	one person 18	one another 16	one that 16	one who 16	one was 15	one can 14	one for 13	one piece 13	one way 12	one by 11
one _ _	one of the 223	one or two 26	one of them 25	one of his 20	one of these 15	one of those 14
one _ _ _	one of the most 26
one _ _ most	one of the most 26
one _ his	one of his 20
one _ the	one of the 223
one _ the _	one of the most 26
one _ the most	one of the most 26
one _ them	one of them 25
one _ these	one of these 15
one _ those	one of those 14
one _ two	one or two 26
one and	one and 20
one another	one another 16
one by	one by 11
one can	one can 14
one day	one day 29
one for	one for 13
one hand	one hand 20
one has	one has 19
one in	one in 26
one is	one is 37
one of	one of 426
one of _	one of the 223	one of them 25	one of his 20	one of these 15	one of those 14
one of _ _	one of the most 26
one of _ most	one of the most 26
one of his	one of his 20
one of the	one of the 223
one of the _	one of the most 26
one of the most	one of the most 26
one of them	one of them 25
one of these	one of these 15
one of those	one of those 14
one or	one or 40
one or _	one or two 26
one or two	one or two 26
one person	one person 18
one piece	one piece 13
one side	one side 40
one that	one that 16
one thing	one thing 32
one to	one to 26
one was	one was 15
one way	one way 12
one which	one which 20
one who	one who 16
ones	ones 75
only	only 1044
only _	only a 91	only the 50	only one 48	only be 45	only to 41	only in 22	only by 15	only of 13	only when 13	only have 12	only if 11	only with 11
only _ _	only a few 14
only _ few	only a few 14
only a	only a 91
only a _	only a few 14
only a few	only a few 14
only be	only be 45
only by	only by 15
only have	only have 12
only if	only if 11
only in	only in 22
only of	only of 13
only one	only one 48
only the	only the 50
only to	only to 41
only when	only when 13
only with	only with 11
onto	onto 61
onto _	onto the 31
onto the	onto the 31
onwards	onwards 18
open	open 202
open _	open to 32	open the 12	open and 11
open and	open and 11
open the	open the 12
open to	open to 32
opened	opened 75
opened _	opened the 29
opened the	opened the 29
opening	opening 46
opening _	opening of 12
opening of	opening of 12
operate	operate 24
operated	operated 15
operating	operating 15
operation	operation 65
operation _	operation of 11
operation of	operation of 11
operations	operations 26
opinion	opinion 38
opinions	opinions 15
opponent	opponent 288
opponent _	opponent face 17	opponent is 13	opponent and 11	opponent to 11
opponent and	opponent and 11
opponent face	opponent face 17
opponent is	opponent is 13
opponent to	opponent to 11
opportunities	opportunities 49
opportunities _	opportunities for 14
opportunities for	opportunities for 14
opportunity	opportunity 63
opportunity _	opportunity to 40
opportunity to	opportunity to 40
oppose	oppose 11
opposed	opposed 26
opposed _	opposed to 15
opposed to	opposed to 15
opposite	opposite 63
opposite _	opposite rudder 18
opposite rudder	opposite rudder 18
opposition	opposition 29
option	option 29
options	options 14
